STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,AGG_METHOD,UNIT_TYPE,DATABASE_ID,TIME_FORMAT,UNIT_MULT,DATA_SOURCE,OBS_CONF,OBS_VALUE,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AGO,IMF_AI_AIPI_IX,_Z,_Z,_Z,0_TO_1,_Z,_Z,_Z,2023,MEAN,IX,IMF_AI,602,0,IMF_AI,PU,0.25965924188495,A,Annual,Angola,AI Preparedness Index (AIPI),Not applicable,Not applicable,Not applicable,0-1 scale,Not Applicable,Not Applicable,Not Applicable,Mean,Index,Artificial Intelligence (AI) Preparedness Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ALB,IMF_AI_AIPI_IX,_Z,_Z,_Z,0_TO_1,_Z,_Z,_Z,2023,MEAN,IX,IMF_AI,602,0,IMF_AI,PU,0.52679254114628,A,Annual,Albania,AI Preparedness Index (AIPI),Not applicable,Not applicable,Not applicable,0-1 scale,Not Applicable,Not Applicable,Not Applicable,Mean,Index,Artificial Intelligence (AI) Preparedness Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ARE,IMF_AI_AIPI_IX,_Z,_Z,_Z,0_TO_1,_Z,_Z,_Z,2023,MEAN,IX,IMF_AI,602,0,IMF_AI,PU,0.62818463146687,A,Annual,United Arab Emirates,AI Preparedness Index (AIPI),Not applicable,Not applicable,Not applicable,0-1 scale,Not Applicable,Not Applicable,Not Applicable,Mean,Index,Artificial Intelligence (AI) Preparedness Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ARG,IMF_AI_AIPI_IX,_Z,_Z,_Z,0_TO_1,_Z,_Z,_Z,2023,MEAN,IX,IMF_AI,602,0,IMF_AI,PU,0.47380943596363,A,Annual,Argentina,AI Preparedness Index (AIPI),Not applicable,Not applicable,Not applicable,0-1 scale,Not Applicable,Not Applicable,Not Applicable,Mean,Index,Artificial Intelligence (AI) Preparedness Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ARM,IMF_AI_AIPI_IX,_Z,_Z,_Z,0_TO_1,_Z,_Z,_Z,2023,MEAN,IX,IMF_AI,602,0,IMF_AI,PU,0.49288668483496,A,Annual,Armenia,AI Preparedness Index (AIPI),Not applicable,Not applicable,Not applicable,0-1 scale,Not Applicable,Not Applicable,Not Applicable,Mean,Index,Artificial Intelligence (AI) Preparedness Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AUS,IMF_AI_AIPI_IX,_Z,_Z,_Z,0_TO_1,_Z,_Z,_Z,2023,MEAN,IX,IMF_AI,602,0,IMF_AI,PU,0.72710032761097,A,Annual,Australia,AI Preparedness Index (AIPI),Not applicable,Not applicable,Not applicable,0-1 scale,Not Applicable,Not Applicable,Not Applicable,Mean,Index,Artificial Intelligence (AI) Preparedness Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AUT,IMF_AI_AIPI_IX,_Z,_Z,_Z,0_TO_1,_Z,_Z,_Z,2023,MEAN,IX,IMF_AI,602,0,IMF_AI,PU,0.72456575930119,A,Annual,Austria,AI Preparedness Index (AIPI),Not applicable,Not applicable,Not applicable,0-1 scale,Not Applicable,Not Applicable,Not Applicable,Mean,Index,Artificial Intelligence (AI) Preparedness Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AZE,IMF_AI_AIPI_IX,_Z,_Z,_Z,0_TO_1,_Z,_Z,_Z,2023,MEAN,IX,IMF_AI,602,0,IMF_AI,PU,0.4709397777915,A,Annual,Azerbaijan,AI Preparedness Index (AIPI),Not applicable,Not applicable,Not applicable,0-1 scale,Not Applicable,Not Applicable,Not Applicable,Mean,Index,Artificial Intelligence (AI) Preparedness Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,BDI,IMF_AI_AIPI_IX,_Z,_Z,_Z,0_TO_1,_Z,_Z,_Z,2023,MEAN,IX,IMF_AI,602,0,IMF_AI,PU,0.29458386823535,A,Annual,Burundi,AI Preparedness Index (AIPI),Not applicable,Not applicable,Not applicable,0-1 scale,Not Applicable,Not Applicable,Not Applicable,Mean,Index,Artificial Intelligence (AI) Preparedness Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,BEL,IMF_AI_AIPI_IX,_Z,_Z,_Z,0_TO_1,_Z,_Z,_Z,2023,MEAN,IX,IMF_AI,602,0,IMF_AI,PU,0.67247784137726,A,Annual,Belgium,AI Preparedness Index (AIPI),Not applicable,Not applicable,Not applicable,0-1 scale,Not Applicable,Not Applicable,Not Applicable,Mean,Index,Artificial Intelligence (AI) Preparedness Index,CCYY,Units,Normal value,Public
