id_emprestimo,id_cliente,valor,taxa_juros,data_contratacao,status
1,411,40277,0.037,2021-05-31,quitado
2,2765,45236,0.022,2020-02-18,inadimplente
3,2190,12713,0.022,2022-05-04,ativo
4,3660,22275,0.022,2020-03-13,inadimplente
5,915,24412,0.039,2022-12-24,inadimplente
6,3246,17294,0.017,2022-12-31,ativo
7,1033,48630,0.016,2022-10-07,quitado
8,2251,23635,0.049,2023-11-12,inadimplente
9,2000,49017,0.043,2023-03-11,quitado
10,333,6015,0.023,2020-03-19,ativo
11,4992,48435,0.036,2020-07-26,quitado
12,4200,48539,0.013,2023-07-28,inadimplente
13,2474,28690,0.026,2021-01-11,inadimplente
14,2105,48290,0.036,2020-06-11,quitado
15,954,13559,0.033,2021-09-12,inadimplente
16,4212,36334,0.044,2021-05-14,inadimplente
17,401,25525,0.033,2021-03-16,quitado
18,2252,49946,0.038,2021-01-15,quitado
19,4109,45003,0.012,2022-03-27,ativo
20,2335,18870,0.01,2021-02-28,ativo
21,3395,44071,0.015,2021-06-30,quitado
22,4908,42605,0.023,2021-03-29,ativo
23,149,47465,0.023,2020-05-10,inadimplente
24,2358,48720,0.038,2022-08-01,inadimplente
25,3447,42600,0.034,2023-01-13,quitado
26,3897,37546,0.011,2021-11-28,quitado
27,2838,30123,0.016,2022-10-18,ativo
28,4361,46726,0.017,2022-03-09,quitado
29,3301,3114,0.036,2023-03-16,ativo
30,3986,37787,0.049,2020-06-19,ativo
31,4339,25195,0.022,2021-10-07,quitado
32,3829,2937,0.016,2023-04-12,ativo
33,2881,38020,0.027,2020-02-17,quitado
34,4559,49762,0.03,2021-04-25,quitado
35,4404,9630,0.025,2020-09-09,ativo
36,3242,15306,0.018,2020-08-14,inadimplente
37,2371,12706,0.045,2022-04-01,inadimplente
38,3347,24070,0.04,2022-05-06,inadimplente
39,2285,21932,0.041,2023-07-14,ativo
40,2604,33919,0.031,2022-03-14,ativo
41,3310,33429,0.04,2021-08-09,quitado
42,1286,12640,0.026,2020-01-07,inadimplente
43,2737,31410,0.036,2023-10-31,ativo
44,3141,39021,0.036,2022-05-06,quitado
45,1548,42708,0.011,2021-04-04,ativo
46,4995,41627,0.03,2020-06-13,inadimplente
47,4675,48982,0.026,2020-02-16,quitado
48,4996,17380,0.017,2023-07-05,quitado
49,746,25267,0.011,2023-05-16,inadimplente
50,3190,37179,0.03,2021-01-30,ativo
51,3751,25186,0.039,2021-05-05,ativo
52,3869,47713,0.047,2021-10-22,ativo
53,2401,5247,0.046,2021-02-27,inadimplente
54,3778,31093,0.02,2023-05-20,quitado
55,1982,12591,0.049,2022-10-21,inadimplente
56,911,40584,0.044,2020-11-22,ativo
57,3787,48320,0.048,2020-01-15,inadimplente
58,265,45697,0.037,2022-11-30,quitado
59,3157,5611,0.041,2021-06-16,inadimplente
60,4402,8928,0.039,2023-05-28,inadimplente
61,4376,47842,0.011,2022-09-11,inadimplente
62,490,20199,0.042,2024-01-25,ativo
63,2977,27177,0.039,2022-11-13,inadimplente
64,3605,29087,0.041,2020-07-31,ativo
65,2151,38998,0.04,2020-08-16,inadimplente
66,1385,25016,0.027,2021-11-26,ativo
67,1992,32627,0.018,2020-07-17,quitado
68,607,31031,0.046,2022-10-03,ativo
69,2130,23442,0.022,2022-06-29,quitado
70,3690,46846,0.02,2021-07-17,inadimplente
71,293,10176,0.016,2021-08-13,ativo
72,1811,25304,0.033,2024-01-01,quitado
73,2513,47913,0.016,2023-07-22,quitado
74,3894,47732,0.028,2021-08-26,ativo
75,1054,10602,0.034,2022-02-25,quitado
76,1868,2835,0.044,2023-04-09,quitado
77,1216,39288,0.01,2022-01-15,inadimplente
78,4167,49854,0.045,2022-11-24,quitado
79,3908,41531,0.046,2021-12-05,inadimplente
80,1277,39478,0.044,2021-10-05,inadimplente
81,3067,25771,0.045,2022-09-20,inadimplente
82,1386,35421,0.029,2022-09-18,quitado
83,117,44826,0.048,2021-12-02,ativo
84,2534,14528,0.019,2021-07-23,inadimplente
85,980,43598,0.018,2022-10-18,quitado
86,4665,42853,0.046,2022-12-09,ativo
87,1660,24826,0.037,2022-03-27,inadimplente
88,810,22595,0.03,2021-07-09,inadimplente
89,4381,49579,0.032,2020-06-11,ativo
90,3659,38139,0.031,2021-05-16,quitado
91,1497,46200,0.047,2021-05-16,ativo
92,3737,12628,0.012,2023-06-01,quitado
93,4522,19184,0.014,2021-01-24,inadimplente
94,522,9686,0.031,2020-05-04,ativo
95,1865,16986,0.033,2023-04-05,quitado
96,3804,7440,0.031,2020-04-14,quitado
97,599,13872,0.029,2022-06-24,ativo
98,3900,13936,0.014,2023-04-22,ativo
99,4902,32931,0.022,2020-01-20,inadimplente
100,3521,8308,0.039,2022-06-25,inadimplente
101,1596,39596,0.042,2023-06-12,quitado
102,5,17498,0.04,2023-05-16,quitado
103,4036,42361,0.017,2022-11-04,quitado
104,4213,19596,0.048,2021-09-05,quitado
105,4360,17319,0.024,2023-10-20,inadimplente
106,4122,21237,0.035,2020-08-16,ativo
107,3995,1427,0.023,2022-11-09,quitado
108,4062,11690,0.017,2022-06-03,inadimplente
109,2496,7197,0.047,2022-06-26,quitado
110,4413,12970,0.018,2020-08-10,ativo
111,1747,21132,0.03,2021-10-17,inadimplente
112,3866,7744,0.037,2023-06-02,ativo
113,4678,45032,0.016,2020-11-16,ativo
114,3246,12257,0.044,2023-06-03,inadimplente
115,1288,22343,0.048,2022-08-28,inadimplente
116,4877,28322,0.041,2021-07-05,ativo
117,2154,31931,0.047,2021-09-13,quitado
118,1188,21069,0.023,2021-12-25,inadimplente
119,2584,30472,0.022,2023-02-27,quitado
120,3418,1371,0.04,2022-04-07,ativo
121,3349,24174,0.036,2020-10-13,quitado
122,2247,2276,0.043,2021-02-18,ativo
123,2097,20319,0.043,2020-02-18,quitado
124,3503,26061,0.023,2023-02-20,inadimplente
125,1634,15088,0.035,2022-06-20,quitado
126,876,5877,0.02,2021-10-28,inadimplente
127,3930,48268,0.034,2020-04-04,inadimplente
128,3196,46075,0.048,2023-12-17,quitado
129,2047,19359,0.049,2023-04-15,quitado
130,486,7647,0.012,2021-12-02,quitado
131,4407,25212,0.028,2021-08-05,ativo
132,3866,9800,0.045,2020-05-31,quitado
133,3390,10946,0.045,2023-04-22,quitado
134,4703,14106,0.032,2022-06-16,ativo
135,2686,38534,0.032,2023-09-15,quitado
136,4561,35801,0.043,2023-11-13,ativo
137,1151,5456,0.045,2023-12-03,inadimplente
138,2572,24673,0.046,2022-07-02,inadimplente
139,1760,13067,0.023,2021-04-11,quitado
140,2968,22824,0.018,2023-12-12,quitado
141,2092,40558,0.04,2020-02-17,ativo
142,977,43089,0.026,2022-03-22,quitado
143,394,35629,0.012,2022-11-15,quitado
144,133,38074,0.027,2020-03-06,inadimplente
145,2680,36311,0.03,2023-03-23,quitado
146,550,49131,0.013,2020-07-07,inadimplente
147,921,35849,0.016,2022-11-17,ativo
148,4702,31700,0.034,2021-01-25,ativo
149,3531,19144,0.029,2020-11-07,inadimplente
150,2707,5785,0.017,2023-03-24,quitado
151,3720,35584,0.041,2022-06-04,ativo
152,3289,38666,0.022,2023-07-01,quitado
153,155,1559,0.019,2022-05-24,ativo
154,2121,15607,0.033,2021-10-30,inadimplente
155,3750,43835,0.037,2023-03-22,quitado
156,4726,11001,0.018,2020-10-30,ativo
157,2528,12900,0.014,2022-12-28,inadimplente
158,324,9344,0.032,2020-05-21,quitado
159,2584,16080,0.036,2021-02-17,quitado
160,1338,28805,0.05,2021-04-22,ativo
161,2911,2788,0.015,2022-06-19,ativo
162,3073,2666,0.028,2021-03-03,quitado
163,404,30282,0.028,2021-02-10,ativo
164,3118,39680,0.043,2020-07-09,ativo
165,4151,38899,0.039,2020-09-06,ativo
166,1718,8887,0.048,2023-05-23,quitado
167,2596,28205,0.018,2020-07-04,inadimplente
168,2948,32324,0.02,2020-08-17,quitado
169,133,1475,0.025,2022-05-10,quitado
170,820,24244,0.024,2021-09-26,ativo
171,3557,43729,0.022,2023-12-07,ativo
172,3193,31891,0.011,2021-07-16,inadimplente
173,2649,3973,0.016,2021-05-24,ativo
174,4626,1607,0.015,2020-11-14,ativo
175,3849,3555,0.012,2021-03-05,inadimplente
176,2401,25359,0.035,2020-11-18,quitado
177,1413,12445,0.047,2020-11-06,inadimplente
178,1488,24925,0.045,2020-08-12,ativo
179,246,33607,0.018,2022-04-06,inadimplente
180,3058,18378,0.035,2020-02-28,ativo
181,2717,2867,0.046,2020-03-11,inadimplente
182,1183,27716,0.012,2022-02-11,inadimplente
183,4303,12124,0.016,2020-01-31,quitado
184,1825,7037,0.027,2020-05-15,ativo
185,3897,31437,0.049,2023-01-04,quitado
186,1102,40535,0.042,2020-01-02,quitado
187,3902,31768,0.046,2021-06-10,ativo
188,2646,44016,0.032,2023-06-10,inadimplente
189,790,32312,0.03,2023-03-15,ativo
190,1031,15372,0.031,2020-10-19,ativo
191,674,49705,0.014,2022-04-07,quitado
192,863,17369,0.019,2021-01-13,inadimplente
193,2467,22536,0.038,2022-08-04,inadimplente
194,4840,35073,0.031,2021-06-30,ativo
