id_pagamento,id_emprestimo,valor_pago,data_pagamento
1,964,5315,2023-05-12
2,1789,6693,2023-07-13
3,3796,5273,2022-12-29
4,3864,8332,2021-11-06
5,53,7720,2020-07-07
6,1812,6797,2022-07-29
7,3368,5987,2022-09-02
8,103,261,2022-12-08
9,3094,2481,2021-04-28
10,4503,2733,2021-02-02
11,1483,9027,2021-02-16
12,991,9719,2021-08-10
13,4125,7004,2023-06-06
14,1352,8076,2023-07-13
15,2143,7414,2021-03-01
16,3496,4483,2021-08-16
17,4905,3574,2021-07-10
18,91,5104,2022-06-08
19,4803,7259,2023-08-12
20,1361,801,2022-09-02
21,3285,6705,2020-08-06
22,2238,9097,2022-05-23
23,1898,1748,2021-06-08
24,1658,4334,2021-11-24
25,1685,5771,2023-05-04
26,2271,9674,2023-07-27
27,751,2042,2023-05-03
28,2534,7294,2022-05-21
29,804,2723,2021-11-18
30,1486,2139,2020-07-30
31,3186,4050,2023-01-14
32,4566,1647,2023-01-27
33,156,5228,2023-07-21
34,1848,6364,2021-10-30
35,4334,1753,2020-11-18
36,3366,5738,2023-08-31
37,2865,6121,2023-07-07
38,3050,9583,2021-11-11
39,1368,1400,2021-10-19
40,4094,9601,2021-07-10
41,856,3617,2022-09-18
42,1585,6653,2022-04-21
43,4721,8335,2021-05-30
44,4005,6749,2023-01-01
45,3504,8714,2023-03-06
46,3902,8197,2022-06-20
47,4653,3634,2022-06-10
48,4580,7165,2020-10-26
49,1710,5256,2020-11-30
50,3978,4408,2020-10-28
51,4791,5869,2021-08-25
52,4550,584,2023-06-27
53,4460,5078,2021-06-02
54,3542,8250,2021-02-22
55,1573,3484,2020-06-27
56,4015,6852,2021-01-22
57,2977,651,2020-08-07
58,770,1428,2020-11-15
59,1835,1941,2022-04-16
60,2523,8812,2020-06-01
61,2522,4837,2021-06-11
62,1629,6961,2021-10-28
63,4092,2760,2020-10-31
64,2143,9785,2020-06-27
65,713,241,2023-05-11
66,3226,1793,2022-07-28
67,2049,7741,2020-07-08
68,2555,9550,2020-12-01
69,2807,8084,2021-09-03
70,4345,638,2022-07-22
71,3721,9576,2022-07-21
72,3783,3987,2022-08-02
73,3704,3173,2020-08-14
74,4785,6661,2021-01-29
75,370,3169,2021-07-02
76,3753,3168,2022-11-03
77,2504,3865,2021-05-22
78,469,6161,2023-04-09
79,3170,9499,2023-08-03
80,3595,2792,2021-11-29
81,2975,7883,2020-12-30
82,2983,6129,2022-11-27
83,1602,2771,2023-02-27
84,3825,316,2021-01-29
85,948,5699,2022-02-22
86,786,7843,2023-03-20
87,1685,3196,2022-09-26
88,38,9804,2022-10-17
89,4162,5775,2022-09-11
90,4165,9241,2023-06-03
91,4509,7082,2020-10-07
92,287,8781,2022-05-04
93,4956,7970,2021-07-16
94,2841,8407,2022-07-16
95,3923,9885,2022-01-22
96,1742,3387,2022-09-20
97,2244,4648,2023-03-14
98,419,2956,2022-07-24
99,1645,2663,2023-03-01
100,3241,8273,2022-10-17
101,2873,9940,2022-08-16
102,2162,5685,2023-04-28
103,3641,6544,2022-07-29
104,2125,9757,2021-11-25
105,3626,1482,2022-05-16
106,2897,4109,2021-12-16
107,3632,4340,2022-03-17
108,296,2325,2021-11-01
109,193,6172,2021-10-08
110,3627,8312,2021-05-14
111,4920,291,2023-07-21
112,2236,8788,2022-08-25
113,2580,3919,2021-11-12
114,2727,642,2021-09-29
115,3613,5924,2021-12-25
116,4539,733,2023-02-13
117,4301,319,2022-07-08
118,1881,8917,2021-08-17
119,1628,8943,2022-07-02
120,3301,9708,2021-06-22
121,1529,2180,2021-10-21
122,3335,6422,2022-02-11
123,4300,902,2021-12-19
124,240,7977,2021-08-28
125,3757,3624,2020-09-22
126,2252,1631,2022-05-22
127,11,6529,2021-08-22
128,1448,4419,2020-07-31
129,2575,1893,2020-09-02
130,1157,6878,2022-06-10
131,4232,3975,2023-05-28
132,3703,9726,2022-11-02
133,1688,3511,2022-01-18
134,3233,7855,2021-12-28
135,3499,4565,2022-08-17
136,3538,811,2021-10-21
137,1790,2436,2023-02-20
138,1611,9545,2023-01-28
139,2167,2026,2022-04-19
140,4872,2602,2020-09-18
141,4716,4847,2020-10-21
142,438,1654,2020-07-14
143,1467,8215,2022-11-11
144,368,8112,2023-05-29
145,903,9970,2022-04-03
146,942,6618,2022-02-03
147,4242,4498,2023-01-02
148,3898,9469,2023-01-18
149,1657,8692,2021-07-08
150,1934,555,2022-10-23
151,715,4518,2021-10-29
152,1761,5466,2022-12-03
153,3041,4616,2023-01-25
154,4327,9867,2021-08-05
155,2797,575,2022-05-06
156,1503,6915,2020-08-04
157,1522,7856,2020-07-30
158,3306,8848,2023-01-20
159,2738,7289,2023-01-20
160,496,8078,2020-11-22
161,4439,2161,2021-04-24
162,4913,3187,2021-10-03
163,3270,1754,2021-08-22
164,4670,1998,2021-02-16
165,1537,8260,2023-01-02
166,2078,6162,2023-05-03
167,2438,1878,2021-07-30
168,2036,8362,2022-09-21
169,4101,7505,2020-06-19
170,2740,8474,2020-06-24
171,4009,9682,2020-10-14
172,368,6826,2022-06-15
173,976,690,2022-10-24
174,2190,868,2023-03-13
175,294,7655,2023-05-17
176,1680,9012,2022-02-08
177,3616,8898,2021-12-03
178,4197,3415,2020-06-22
179,1868,4366,2023-04-26
180,2878,7776,2021-08-11
181,3546,5583,2022-01-05
182,60,4968,2021-11-20
183,1060,8051,2021-06-14
184,4212,1146,2020-06-21
185,1550,2128,2022-12-13
186,4540,8491,2021-10-15
187,3195,4399,2021-10-17
188,678,7212,2023-03-06
189,4254,5534,2023-03-27
190,2188,4477,2021-11-30
191,342,9224,2023-07-26
192,4691,5368,2021-08-16
193,197,3475,2021-06-17
194,276,7755,2022-07-02
195,3570,283,2022-05-02
196,1266,7135,2020-09-19
197,1018,6124,2021-04-22
198,1694,818,2021-02-22
199,4973,9999,2022-09-02
200,3122,3408,2021-08-23
201,175,2905,2021-10-17
202,2935,6746,2022-05-24
203,2169,252,2021-10-15
204,241,7411,2021-01-27
205,2894,4708,2020-10-02
206,1475,7784,2021-08-01
207,1339,621,2021-01-27
208,1196,6053,2021-08-15
209,766,9349,2022-03-31
210,36,560,2022-01-20
211,1049,3484,2020-11-08
212,4356,2494,2020-08-19
213,3150,8673,2021-02-14
214,455,5130,2023-05-19
215,1020,733,2023-08-05
216,1946,1116,2022-05-11
217,2436,8894,2022-01-11
218,3673,3763,2023-04-24
219,2941,7465,2023-02-20
220,4916,7524,2021-07-24
221,4808,8808,2021-04-04
222,2220,5598,2022-04-02
223,1940,8822,2021-01-01
224,3070,1586,2023-06-03
225,1285,8162,2021-03-25
226,1539,8641,2021-03-10
227,3577,4697,2021-02-25
228,4808,6016,2020-12-19
229,4133,5824,2021-06-14
230,2969,6182,2023-01-13
231,3431,8848,2023-05-14
232,650,5713,2022-04-25
233,4848,872,2021-10-13
234,440,8609,2021-02-09
235,4712,7134,2022-04-04
236,2485,4489,2023-03-25
237,3715,6551,2020-12-29
238,2774,444,2022-01-24
239,4199,9283,2021-12-29
240,4794,2086,2022-03-29
241,250,8562,2023-08-16
242,1116,4382,2022-01-12
243,3336,4959,2020-08-24
244,1945,5646,2020-07-25
245,3635,6966,2022-06-10
246,2840,5972,2021-08-05
247,3017,5649,2023-04-08
248,4185,1474,2020-10-05
249,4160,2397,2021-04-09
250,3659,7386,2022-04-07
251,2458,7524,2022-12-13
252,4069,8279,2021-12-09
253,3049,9611,2021-06-04
254,3031,4850,2021-01-27
255,1034,3752,2023-04-20
256,3665,2631,2022-01-12
257,4808,4268,2023-02-14
258,4884,7899,2020-08-18
259,140,8284,2020-10-06
260,2335,5622,2022-06-16
261,4914,4856,2023-06-27
262,2544,9525,2022-10-01
263,3784,4544,2021-01-03
264,3575,7185,2021-02-27
265,1618,9434,2022-04-30
266,3456,8204,2021-01-27
267,1262,5604,2022-06-16
268,4802,3820,2022-05-05
269,245,2964,2022-12-10
270,3531,7519,2021-11-22
271,171,6353,2022-02-07
272,1016,2737,2021-04-10
273,4021,2617,2023-02-14
274,3255,6105,2021-07-10
275,515,4837,2022-06-24
276,928,3508,2021-12-18
277,846,8333,2020-09-10
278,458,5753,2022-01-01
279,2987,5711,2023-07-14
280,1972,4947,2022-05-25
281,2914,5708,2022-06-15
282,3565,3269,2021-02-07
283,3474,9346,2021-08-14
284,1668,6311,2023-02-16
285,3397,6995,2023-04-09
286,443,9383,2022-05-31
287,64,5140,2023-09-02
